word, synset, definition
volleyball, volleyball.n.01, a game in which two teams hit an inflated ball over a high net using their hands
alp, alp.n.01, any high mountain
ipod, ipod.n.01, (trademark) a pocket-sized device used to play music files
implement, implement.n.01, instrumentation (a piece of equipment or tool) used to effect an end
pumpkin, pumpkin.n.01, a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes
bee, bee.n.01, any of numerous hairy-bodied insects including social and solitary species
perfume, aroma.n.02, a distinctive odor that is pleasant
swing, baseball_swing.n.01, in baseball; a batter's attempt to hit a pitched ball
pottery, pottery.n.01, ceramic ware made from clay and baked in a kiln
wing, annex.n.01, an addition that extends a main building
kitchen, kitchen.n.01, a room equipped for preparing meals
berry, berry.n.01, any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
cat, guy.n.01, an informal term for a youth or man
dishwasher, dishwasher.n.01, a machine for washing dishes
chick, dame.n.01, informal terms for a (young) woman
andorra, andorra.n.01, a small republic in the eastern Pyrenees between Spain and France
ruler, rule.n.12, measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths
shield, carapace.n.01, hard outer covering or case of certain organisms such as arthropods and turtles
hat, hat.n.01, headdress that protects the head from bad weather; has shaped crown and usually a brim
collar, apprehension.n.04, the act of apprehending (especially apprehending a criminal)
modem, modem.n.01, (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
grower, agriculturist.n.01, someone concerned with the science or art or business of cultivating the soil
sparrow, hedge_sparrow.n.01, small brownish European songbird
squirt, jet.n.02, the occurrence of a sudden discharge (as of liquid)
venice, venice.n.01, the provincial capital of Veneto; built on 118 islands within a lagoon in the Gulf of Venice; has canals instead of streets; one of Italy's major ports and a famous tourist attraction
woodworking, carpentry.n.01, the craft of a carpenter: making things out of wood
mug, chump.n.01, a person who is gullible and easy to take advantage of
roof, ceiling.n.03, an upper limit on what is allowed
volcano, vent.n.03, a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt
viper, viper.n.01, venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw
drosophila, drosophila.n.01, small fruit fly used by Thomas Hunt Morgan in studying basic mechanisms of inheritance
diocese, diocese.n.01, the territorial jurisdiction of a bishop
harvest, crop.n.01, the yield from plants in a single growing season
chair, president.n.04, the officer who presides at the meetings of an organization
keypad, computer_keyboard.n.01, a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard
clam, dollar.n.02, a piece of paper money worth one dollar
vault, vault.n.04, the act of jumping over an obstacle
limousine, limousine.n.01, large luxurious car; usually driven by a chauffeur
wardrobe, wardrobe.n.01, a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
cookware, cooking_utensil.n.01, a kitchen utensil made of material that does not melt easily; used for cooking
sock, windsock.n.01, a truncated cloth cone mounted on a mast; used (e.g., at airports) to show the direction of the wind
soldier, soldier.n.01, an enlisted man or woman who serves in an army
fishing, fishing.n.01, the act of someone who fishes as a diversion
music, music.n.05, punishment for one's actions
panorama, view.n.02, the visual percept of a region
measure, measure.n.02, how much there is or how many there are of something that you can quantify
lubricant, lubricant.n.01, a substance capable of reducing friction by making surfaces smooth or slippery
plane, plane.n.02, (mathematics) an unbounded two-dimensional shape
diver, loon.n.02, large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back; related to the grebes
garden, garden.n.01, a plot of ground where plants are cultivated
menu, menu.n.01, a list of dishes available at a restaurant
military, military.n.01, the military forces of a nation
faucet, faucet.n.01, a regulator for controlling the flow of a liquid from a reservoir
textile, fabric.n.01, artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
jaguar, jaguar.n.01, a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
festival, festival.n.02, an organized series of acts and performances (usually in one place)
tool, cock.n.01, obscene terms for penis
sofa, sofa.n.01, an upholstered seat for more than one person
aisle, aisle.n.02, passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
horn, cornet.n.01, a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
bras, brassiere.n.01, an undergarment worn by women to support their breasts
skull, skull.n.01, the bony skeleton of the head of vertebrates
telephone, telephone.n.01, electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
steam, steam.n.01, water at boiling temperature diffused in the atmosphere
audubon, audubon.n.01, United States ornithologist and artist (born in Haiti) noted for his paintings of birds of America (1785-1851)
quilting, quilting.n.01, stitching through layers of fabric and a filling so as to create a design
hdtv, high-definition_television.n.01, a television system that has more than the usual number of lines per frame so its pictures show more detail
fragrance, aroma.n.02, a distinctive odor that is pleasant
boat, boat.n.01, a small vessel for travel on water
stove, stove.n.01, a kitchen appliance used for cooking food
limo, limousine.n.01, large luxurious car; usually driven by a chauffeur
parish, parish.n.01, a local church community
dome, attic.n.03, informal terms for a human head
arcade, arcade.n.02, a structure composed of a series of arches supported by columns
mountain, batch.n.02, (often followed by `of') a large number or amount or extent
labrador, labrador.n.01, the mainland part of the province of Newfoundland and Labrador in the eastern part of the large Labrador-Ungava Peninsula in northeastern Canada
truck, truck.n.01, an automotive vehicle suitable for hauling
participant, player.n.01, a person who participates in or is skilled at some game
railroad, railway.n.01, line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
conservatory, conservatory.n.02, a schoolhouse with special facilities for fine arts
marlin, marlin.n.01, large long-jawed oceanic sport fishes; related to sailfishes and spearfishes; not completely cold-blooded i.e. able to warm their brains and eyes
recorder, registrar.n.03, someone responsible for keeping records
camera, camera.n.01, equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
tapestry, tapestry.n.03, a wall hanging of heavy handwoven fabric with pictorial designs
measurement, measurement.n.01, the act or process of assigning numbers to phenomena according to a rule
buffer, fender.n.02, an inclined metal frame at the front of a locomotive to clear the track
mellon, mellon.n.01, United States financier and philanthropist (1855-1937)
knight, knight.n.02, a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)
choral, chorale.n.01, a stately Protestant (especially Lutheran) hymn tune
linen, linen.n.01, a fabric woven with fibers from the flax plant
product, product.n.02, an artifact that has been created by someone or some process
finch, finch.n.01, any of numerous small songbirds with short stout bills adapted for crushing seeds
glassware, glassware.n.01, an article of tableware made of glass
concert, concert.n.01, a performance of music by players or singers not involving theatrical staging
knife, tongue.n.03, any long thin projection that is transient
microscopy, microscopy.n.01, research with the use of microscopes
panama, boater.n.01, a stiff hat made of straw with a flat crown
oven, oven.n.01, kitchen appliance used for baking or roasting
tobago, tobago.n.01, island in West Indies
shelf, ledge.n.01, a projecting ridge on a mountain or submerged under water
shell, shell.n.08, the housing or outer covering of something
chord, chord.n.01, a straight line connecting two points on a curve
sunglass, sunglass.n.01, a convex lens that focuses the rays of the sun; used to start a fire
bear, bear.n.01, massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
cup, cup.n.02, the quantity a cup will hold
tv, television.n.01, broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
handbag, bag.n.04, a container used for carrying money and small personal items or accessories (especially by women)
vcr, videocassette_recorder.n.01, a magnetic tape recorder for recording (and playing back) TV programs
yacht, yacht.n.01, an expensive vessel propelled by sail or power and used for cruising or racing
pharmacist, pharmacist.n.01, a health professional trained in the art of preparing and dispensing drugs
lynx, lynx.n.02, short-tailed wildcats with usually tufted ears; valued for their fur
cajun, cajun.n.01, a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
cooker, cooker.n.01, a utensil for cooking
band, set.n.05, an unofficial association of people or groups
cub, cub.n.01, an awkward and inexperienced youth
container, container.n.01, any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
crusade, campaign.n.02, a series of actions advancing a principle or tending toward a particular end
ruin, laying_waste.n.01, destruction achieved by causing something to be wrecked or ruined
fisherman, fisherman.n.01, someone whose occupation is catching fish
trailer, dawdler.n.01, someone who takes more time than necessary; someone who lags behind
mosque, mosque.n.01, (Islam) a Muslim place of worship that usually has a minaret
font, font.n.01, a specific size and style of type within a type family
raphael, raphael.n.01, Italian painter whose many paintings exemplify the ideals of the High Renaissance (1483-1520)
theatre, theater.n.01, a building where theatrical performances or motion-picture shows can be presented
embroidery, embellishment.n.01, elaboration of an interpretation by the use of decorative (sometimes fictitious) detail
crane, grus.n.01, a small constellation in the southern hemisphere near Phoenix
swallow, swallow.n.02, the act of swallowing
bug, bug.n.02, a fault or defect in a computer program, system, or machine
larva, larva.n.01, the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose
comma, comma.n.01, a punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence
sergeant, serjeant-at-law.n.01, an English barrister of the highest rank
airfare, airfare.n.01, the fare charged for traveling by airplane
linkage, linkage.n.01, an associative relation
sherman, sherman.n.01, United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891)
theater, theater.n.01, a building where theatrical performances or motion-picture shows can be presented
marker, marker.n.02, a distinguishing symbol
pavilion, pavilion.n.01, large and often sumptuous tent
cookbook, cookbook.n.01, a book of recipes and cooking directions
pot, toilet.n.02, a plumbing fixture for defecation and urination
split, rip.n.02, an opening made forcibly as by pulling apart
meter, meter.n.04, rhythm as given by division into parts of equal duration
stationery, stationery.n.01, paper cut to an appropriate size for writing letters; usually with matching envelopes
cosmetic, cosmetic.n.01, a toiletry designed to beautify the body
motif, theme.n.02, a unifying idea that is a recurrent element in literary or artistic work
walkman, walkman.n.01, (trademark) a pocket-sized stereo system with light weight earphones
trucking, hauling.n.01, the activity of transporting goods by truck
torch, flashlight.n.01, a small portable battery-powered electric lamp
puppy, puppy.n.02, an inexperienced young person
pencil, pencil.n.01, a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
kayak, kayak.n.01, a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
safari, campaign.n.04, an overland journey by hunters (especially in Africa)
sewer, gutter.n.02, misfortune resulting in lost effort or money
locker, cabinet.n.03, a storage compartment for clothes and valuables; usually it has a lock
composer, composer.n.01, someone who composes music as a profession
monastery, monastery.n.01, the residence of a religious community
disk, phonograph_record.n.01, sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
genu, knee.n.01, hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
